latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
42.54214,-88.48983,305.75,1.35,1.15,2025-03-25,1609,T,62,6.1NRT,283.28,13.4,D
23.02855,-98.03342,322.08,1.01,1,2025-03-25,1616,T,74,6.1NRT,295.13,14.8,D
43.15687,-92.20006,303.61,1.01,1,2025-03-25,1609,T,57,6.1NRT,285.12,5.96,D
42.67599,-89.75661,301.91,1.18,1.08,2025-03-25,1609,T,50,6.1NRT,284.58,6.78,D
42.96945,-91.88183,302.93,1.02,1.01,2025-03-25,1609,T,54,6.1NRT,284.65,5.46,D
22.98355,-99.13086,317.3,1.01,1,2025-03-25,1618,T,51,6.1NRT,299.8,6.6,D
42.50481,-89.5971,305.04,1.21,1.09,2025-03-25,1609,T,60,6.1NRT,284.56,9.06,D
22.79478,-99.03722,319.52,1,1,2025-03-25,1618,T,69,6.1NRT,299.01,9.04,D
22.73401,-98.98871,319.25,1,1,2025-03-25,1618,T,69,6.1NRT,300.13,7,D
42.50232,-89.58313,304.23,1.21,1.09,2025-03-25,1609,T,58,6.1NRT,284.42,8.43,D
22.14666,-99.21354,319.5,1.01,1,2025-03-25,1618,T,72,6.1NRT,295.57,9.39,D
42.88597,-92.13126,300.68,1.01,1.01,2025-03-25,1609,T,40,6.1NRT,286.23,3.36,D
21.3823,-98.45731,313.9,1.01,1,2025-03-25,1618,T,56,6.1NRT,294.03,6.32,D
42.85514,-91.98949,301.05,1.02,1.01,2025-03-25,1609,T,44,6.1NRT,286.68,3.88,D
42.19682,-88.32093,300.96,1.4,1.17,2025-03-25,1609,T,43,6.1NRT,283.46,8.3,D
21.01641,-98.11702,315.73,1.02,1.01,2025-03-25,1618,T,69,6.1NRT,295.04,9.88,D
42.78788,-91.97717,304.91,1.02,1.01,2025-03-25,1609,T,60,6.1NRT,286.97,5.97,D
20.57873,-101.17103,324.67,1.11,1.05,2025-03-25,1618,T,73,6.1NRT,302.78,16.14,D
42.60289,-91.68155,344.51,1.04,1.02,2025-03-25,1609,T,94,6.1NRT,287.13,54.14,D
20.78333,-103.37323,318.38,1.49,1.21,2025-03-25,1618,T,48,6.1NRT,305.61,7.89,D
42.60098,-91.66937,309.46,1.04,1.02,2025-03-25,1609,T,69,6.1NRT,285.81,9.54,D
20.56403,-102.25629,325.08,1.26,1.11,2025-03-25,1618,T,73,6.1NRT,305.96,17.33,D
41.64888,-86.62803,302.99,1.77,1.3,2025-03-25,1609,T,54,6.1NRT,276.42,17.63,D
41.90615,-88.16039,306.76,1.44,1.19,2025-03-25,1609,T,64,6.1NRT,284.51,14.97,D
20.56706,-102.68648,330.83,1.34,1.15,2025-03-25,1618,T,80,6.1NRT,306.9,29.3,D
20.53461,-103.18217,320.66,1.44,1.19,2025-03-25,1618,T,50,6.1NRT,307.18,9.9,D
41.92019,-88.3476,345.08,1.41,1.18,2025-03-25,1609,T,94,6.1NRT,284.56,90.2,D
20.45209,-103.67033,341.32,1.55,1.23,2025-03-25,1618,T,89,6.1NRT,308.41,62.94,D
42.32888,-92.6861,305,1.01,1,2025-03-25,1609,T,60,6.1NRT,284.54,7.04,D
20.4504,-103.65612,331.28,1.54,1.22,2025-03-25,1618,T,81,6.1NRT,308.63,33.43,D
42.19301,-92.09238,302.56,1.02,1.01,2025-03-25,1609,T,48,6.1NRT,288.41,3.8,D
19.87937,-100.76243,322.2,1.06,1.03,2025-03-25,1618,T,49,6.1NRT,298.44,13.3,D
42.00627,-94.17545,312.04,1.01,1,2025-03-25,1609,T,72,6.1NRT,288.81,9.95,D
42.00466,-94.16362,330.14,1.01,1,2025-03-25,1609,T,87,6.1NRT,288.88,28.35,D
19.86903,-100.75375,319.97,1.06,1.03,2025-03-25,1618,T,53,6.1NRT,294.64,13.47,D
41.85496,-93.37026,308.61,1,1,2025-03-25,1609,T,67,6.1NRT,288.49,7.27,D
20.01445,-102.19437,323.99,1.23,1.1,2025-03-25,1618,T,73,6.1NRT,307.55,16.2,D
41.75671,-92.70428,303.69,1.01,1,2025-03-25,1609,T,57,6.1NRT,287.47,4.54,D
19.87053,-101.3854,323.01,1.12,1.05,2025-03-25,1618,T,73,6.1NRT,302.15,13.93,D
41.66432,-92.52682,320.75,1.02,1.01,2025-03-25,1609,T,80,6.1NRT,289.26,17.8,D
20.27593,-105.44318,316.95,2.07,1.4,2025-03-25,1618,T,48,6.1NRT,303.23,18.12,D
19.93937,-103.21936,313.44,1.42,1.18,2025-03-25,1618,T,17,6.1NRT,302.17,7.31,D
41.49682,-93.2692,311.24,1,1,2025-03-25,1609,T,71,6.1NRT,286.11,9.72,D
18.42249,-93.17961,311.64,2.14,1.42,2025-03-25,1618,T,0,6.1NRT,292.16,15.29,D
41.40433,-93.39484,306.41,1,1,2025-03-25,1609,T,63,6.1NRT,286.91,6.24,D
